deviceId,sampledAt,temperature,vibration,noise,failureWithinHorizon,failureAt
1,2026-01-01T21:00:00+00:00,37.38,0.231,47.86,false,
2,2026-01-01T21:00:00+00:00,39.08,0.266,49.36,false,
3,2026-01-01T21:00:00+00:00,40.78,0.301,50.86,false,
1,2026-01-01T22:00:00+00:00,37.46,0.235,47.98,false,
2,2026-01-01T22:00:00+00:00,39.16,0.270,49.48,false,
3,2026-01-01T22:00:00+00:00,40.86,0.305,50.98,false,
1,2026-01-01T23:00:00+00:00,37.54,0.239,48.10,false,
2,2026-01-01T23:00:00+00:00,39.24,0.274,49.60,false,
3,2026-01-01T23:00:00+00:00,40.94,0.309,51.10,false,
1,2026-01-02T00:00:00+00:00,35.70,0.195,48.22,false,
2,2026-01-02T00:00:00+00:00,37.40,0.230,49.72,false,
3,2026-01-02T00:00:00+00:00,39.10,0.265,51.22,false,
1,2026-01-02T01:00:00+00:00,35.78,0.199,48.34,false,
2,2026-01-02T01:00:00+00:00,37.48,0.234,49.84,false,
3,2026-01-02T01:00:00+00:00,39.18,0.269,51.34,false,
1,2026-01-02T02:00:00+00:00,35.86,0.203,48.46,false,
2,2026-01-02T02:00:00+00:00,37.56,0.238,49.96,false,
3,2026-01-02T02:00:00+00:00,39.26,0.273,51.46,false,
1,2026-01-02T03:00:00+00:00,35.94,0.207,48.58,false,
2,2026-01-02T03:00:00+00:00,37.64,0.242,50.08,false,
3,2026-01-02T03:00:00+00:00,39.34,0.277,51.58,false,
1,2026-01-02T04:00:00+00:00,36.02,0.211,48.70,false,
2,2026-01-02T04:00:00+00:00,37.72,0.246,50.20,false,
3,2026-01-02T04:00:00+00:00,39.42,0.281,51.70,false,
1,2026-01-02T05:00:00+00:00,36.10,0.215,48.82,false,
2,2026-01-02T05:00:00+00:00,37.80,0.250,50.32,false,
3,2026-01-02T05:00:00+00:00,39.50,0.285,51.82,false,
1,2026-01-02T06:00:00+00:00,36.18,0.219,48.94,false,
2,2026-01-02T06:00:00+00:00,37.88,0.254,50.44,false,
3,2026-01-02T06:00:00+00:00,39.58,0.289,51.94,false,
1,2026-01-02T07:00:00+00:00,36.26,0.223,49.06,false,
2,2026-01-02T07:00:00+00:00,37.96,0.258,50.56,false,
3,2026-01-02T07:00:00+00:00,39.66,0.293,52.06,false,
1,2026-01-02T08:00:00+00:00,36.34,0.227,49.18,false,
2,2026-01-02T08:00:00+00:00,38.04,0.262,50.68,false,
3,2026-01-02T08:00:00+00:00,39.74,0.297,52.18,false,
1,2026-01-02T09:00:00+00:00,36.42,0.231,49.30,false,
2,2026-01-02T09:00:00+00:00,38.12,0.266,50.80,false,
3,2026-01-02T09:00:00+00:00,39.82,0.301,52.30,false,
1,2026-01-02T10:00:00+00:00,36.50,0.235,49.42,false,
2,2026-01-02T10:00:00+00:00,38.20,0.270,50.92,false,
3,2026-01-02T10:00:00+00:00,39.90,0.305,52.42,false,
1,2026-01-02T11:00:00+00:00,36.58,0.239,49.54,false,
2,2026-01-02T11:00:00+00:00,38.28,0.274,51.04,false,
3,2026-01-02T11:00:00+00:00,39.98,0.309,52.54,false,
1,2026-01-02T12:00:00+00:00,36.66,0.195,47.50,false,
2,2026-01-02T12:00:00+00:00,38.36,0.230,49.00,false,
3,2026-01-02T12:00:00+00:00,40.06,0.265,50.50,false,
1,2026-01-02T13:00:00+00:00,36.74,0.199,47.62,false,
2,2026-01-02T13:00:00+00:00,38.44,0.234,49.12,false,
3,2026-01-02T13:00:00+00:00,40.14,0.269,50.62,false,
1,2026-01-02T14:00:00+00:00,36.82,0.203,47.74,false,
2,2026-01-02T14:00:00+00:00,38.52,0.238,49.24,false,
3,2026-01-02T14:00:00+00:00,40.22,0.273,50.74,false,
1,2026-01-02T15:00:00+00:00,36.90,0.207,47.86,false,
2,2026-01-02T15:00:00+00:00,38.60,0.242,49.36,false,
3,2026-01-02T15:00:00+00:00,40.30,0.277,50.86,false,
1,2026-01-02T16:00:00+00:00,36.98,0.211,47.98,false,
2,2026-01-02T16:00:00+00:00,38.68,0.246,49.48,false,
3,2026-01-02T16:00:00+00:00,40.38,0.281,50.98,false,
1,2026-01-02T17:00:00+00:00,37.06,0.215,48.10,false,
2,2026-01-02T17:00:00+00:00,38.76,0.250,49.60,false,
3,2026-01-02T17:00:00+00:00,40.46,0.285,51.10,false,
1,2026-01-02T18:00:00+00:00,37.14,0.219,48.22,false,
2,2026-01-02T18:00:00+00:00,38.84,0.254,49.72,false,
3,2026-01-02T18:00:00+00:00,40.54,0.289,51.22,false,
1,2026-01-02T19:00:00+00:00,37.22,0.223,48.34,false,
2,2026-01-02T19:00:00+00:00,38.92,0.258,49.84,false,
3,2026-01-02T19:00:00+00:00,40.62,0.293,51.34,false,
1,2026-01-02T20:00:00+00:00,37.30,0.227,48.46,false,
2,2026-01-02T20:00:00+00:00,39.00,0.262,49.96,false,
3,2026-01-02T20:00:00+00:00,40.70,0.297,51.46,false,
1,2026-01-02T21:00:00+00:00,37.38,0.231,48.58,false,
2,2026-01-02T21:00:00+00:00,39.08,0.266,50.08,false,
3,2026-01-02T21:00:00+00:00,40.78,0.301,51.58,false,
1,2026-01-02T22:00:00+00:00,37.46,0.235,48.70,true,2026-01-03T22:00:00+00:00
2,2026-01-02T22:00:00+00:00,39.16,0.270,50.20,false,
3,2026-01-02T22:00:00+00:00,40.86,0.305,51.70,false,
1,2026-01-02T23:00:00+00:00,38.71,0.271,50.03,true,2026-01-03T22:00:00+00:00
2,2026-01-02T23:00:00+00:00,39.24,0.274,50.32,false,
3,2026-01-02T23:00:00+00:00,40.94,0.309,51.82,false,
1,2026-01-03T00:00:00+00:00,38.03,0.260,51.36,true,2026-01-03T22:00:00+00:00
2,2026-01-03T00:00:00+00:00,37.40,0.230,50.44,false,
3,2026-01-03T00:00:00+00:00,39.10,0.265,51.94,false,
1,2026-01-03T01:00:00+00:00,39.28,0.296,52.69,true,2026-01-03T22:00:00+00:00
2,2026-01-03T01:00:00+00:00,37.48,0.234,50.56,false,
3,2026-01-03T01:00:00+00:00,39.18,0.269,52.06,false,
1,2026-01-03T02:00:00+00:00,40.53,0.333,54.01,true,2026-01-03T22:00:00+00:00
2,2026-01-03T02:00:00+00:00,37.56,0.238,50.68,false,
3,2026-01-03T02:00:00+00:00,39.26,0.273,52.18,false,
1,2026-01-03T03:00:00+00:00,41.77,0.370,55.34,true,2026-01-03T22:00:00+00:00
2,2026-01-03T03:00:00+00:00,37.64,0.242,50.80,false,
3,2026-01-03T03:00:00+00:00,39.34,0.277,52.30,false,
1,2026-01-03T04:00:00+00:00,43.02,0.406,56.67,true,2026-01-03T22:00:00+00:00
2,2026-01-03T04:00:00+00:00,37.72,0.246,50.92,false,
3,2026-01-03T04:00:00+00:00,39.42,0.281,52.42,false,
1,2026-01-03T05:00:00+00:00,44.27,0.443,58.00,true,2026-01-03T22:00:00+00:00
2,2026-01-03T05:00:00+00:00,37.80,0.250,51.04,false,
3,2026-01-03T05:00:00+00:00,39.50,0.285,52.54,false,
1,2026-01-03T06:00:00+00:00,45.51,0.479,57.17,true,2026-01-03T22:00:00+00:00
2,2026-01-03T06:00:00+00:00,37.88,0.254,49.00,false,
3,2026-01-03T06:00:00+00:00,39.58,0.289,50.50,false,
1,2026-01-03T07:00:00+00:00,46.76,0.515,58.49,true,2026-01-03T22:00:00+00:00
2,2026-01-03T07:00:00+00:00,37.96,0.258,49.12,false,
3,2026-01-03T07:00:00+00:00,39.66,0.293,50.62,false,
1,2026-01-03T08:00:00+00:00,48.01,0.552,59.82,true,2026-01-03T22:00:00+00:00
2,2026-01-03T08:00:00+00:00,38.04,0.262,49.24,false,
3,2026-01-03T08:00:00+00:00,39.74,0.297,50.74,false,
1,2026-01-03T09:00:00+00:00,49.25,0.589,61.15,true,2026-01-03T22:00:00+00:00
2,2026-01-03T09:00:00+00:00,38.12,0.266,49.36,false,
3,2026-01-03T09:00:00+00:00,39.82,0.301,50.86,false,
1,2026-01-03T10:00:00+00:00,50.50,0.625,62.48,true,2026-01-03T22:00:00+00:00
2,2026-01-03T10:00:00+00:00,38.20,0.270,49.48,false,
3,2026-01-03T10:00:00+00:00,39.90,0.305,50.98,false,
1,2026-01-03T11:00:00+00:00,51.75,0.661,63.81,true,2026-01-03T22:00:00+00:00
2,2026-01-03T11:00:00+00:00,38.28,0.274,49.60,false,
3,2026-01-03T11:00:00+00:00,39.98,0.309,51.10,false,
1,2026-01-03T12:00:00+00:00,52.99,0.650,65.14,true,2026-01-03T22:00:00+00:00
2,2026-01-03T12:00:00+00:00,38.36,0.230,49.72,false,
3,2026-01-03T12:00:00+00:00,40.06,0.265,51.22,false,
1,2026-01-03T13:00:00+00:00,54.24,0.687,66.47,true,2026-01-03T22:00:00+00:00
2,2026-01-03T13:00:00+00:00,38.44,0.234,49.84,false,
3,2026-01-03T13:00:00+00:00,40.14,0.269,51.34,false,
1,2026-01-03T14:00:00+00:00,55.49,0.723,67.79,true,2026-01-03T22:00:00+00:00
2,2026-01-03T14:00:00+00:00,38.52,0.238,49.96,false,
3,2026-01-03T14:00:00+00:00,40.22,0.273,51.46,false,
1,2026-01-03T15:00:00+00:00,56.73,0.760,69.12,true,2026-01-03T22:00:00+00:00
2,2026-01-03T15:00:00+00:00,38.60,0.242,50.08,false,
3,2026-01-03T15:00:00+00:00,40.30,0.277,51.58,false,
1,2026-01-03T16:00:00+00:00,57.98,0.796,70.45,true,2026-01-03T22:00:00+00:00
2,2026-01-03T16:00:00+00:00,38.68,0.246,50.20,false,
3,2026-01-03T16:00:00+00:00,40.38,0.281,51.70,true,2026-01-04T16:00:00+00:00
1,2026-01-03T17:00:00+00:00,59.23,0.832,71.78,true,2026-01-03T22:00:00+00:00
2,2026-01-03T17:00:00+00:00,38.76,0.250,50.32,false,
3,2026-01-03T17:00:00+00:00,41.63,0.318,53.03,true,2026-01-04T16:00:00+00:00
1,2026-01-03T18:00:00+00:00,60.47,0.869,73.11,true,2026-01-03T22:00:00+00:00
2,2026-01-03T18:00:00+00:00,38.84,0.254,50.44,false,
3,2026-01-03T18:00:00+00:00,42.87,0.354,54.36,true,2026-01-04T16:00:00+00:00
1,2026-01-03T19:00:00+00:00,61.72,0.905,74.44,true,2026-01-03T22:00:00+00:00
2,2026-01-03T19:00:00+00:00,38.92,0.258,50.56,false,
3,2026-01-03T19:00:00+00:00,44.12,0.391,55.69,true,2026-01-04T16:00:00+00:00
1,2026-01-03T20:00:00+00:00,62.97,0.942,75.76,true,2026-01-03T22:00:00+00:00
2,2026-01-03T20:00:00+00:00,39.00,0.262,50.68,false,
3,2026-01-03T20:00:00+00:00,45.37,0.427,57.01,true,2026-01-04T16:00:00+00:00
1,2026-01-03T21:00:00+00:00,64.21,0.979,77.09,true,2026-01-03T22:00:00+00:00
2,2026-01-03T21:00:00+00:00,39.08,0.266,50.80,false,
3,2026-01-03T21:00:00+00:00,46.61,0.464,58.34,true,2026-01-04T16:00:00+00:00
1,2026-01-03T22:00:00+00:00,65.46,1.015,78.42,true,2026-01-03T22:00:00+00:00
2,2026-01-03T22:00:00+00:00,39.16,0.270,50.92,false,
3,2026-01-03T22:00:00+00:00,47.86,0.500,59.67,true,2026-01-04T16:00:00+00:00
1,2026-01-03T23:00:00+00:00,37.54,0.239,49.54,false,
2,2026-01-03T23:00:00+00:00,39.24,0.274,51.04,false,
3,2026-01-03T23:00:00+00:00,49.11,0.536,61.00,true,2026-01-04T16:00:00+00:00
1,2026-01-04T00:00:00+00:00,35.70,0.195,47.50,false,
2,2026-01-04T00:00:00+00:00,37.40,0.230,49.00,false,
3,2026-01-04T00:00:00+00:00,48.43,0.525,60.17,true,2026-01-04T16:00:00+00:00
1,2026-01-04T01:00:00+00:00,35.78,0.199,47.62,false,
2,2026-01-04T01:00:00+00:00,37.48,0.234,49.12,false,
3,2026-01-04T01:00:00+00:00,49.68,0.561,61.49,true,2026-01-04T16:00:00+00:00
1,2026-01-04T02:00:00+00:00,35.86,0.203,47.74,false,
2,2026-01-04T02:00:00+00:00,37.56,0.238,49.24,false,
3,2026-01-04T02:00:00+00:00,50.93,0.598,62.82,true,2026-01-04T16:00:00+00:00
1,2026-01-04T03:00:00+00:00,35.94,0.207,47.86,false,
2,2026-01-04T03:00:00+00:00,37.64,0.242,49.36,false,
3,2026-01-04T03:00:00+00:00,52.17,0.635,64.15,true,2026-01-04T16:00:00+00:00
1,2026-01-04T04:00:00+00:00,36.02,0.211,47.98,false,
2,2026-01-04T04:00:00+00:00,37.72,0.246,49.48,false,
3,2026-01-04T04:00:00+00:00,53.42,0.671,65.48,true,2026-01-04T16:00:00+00:00
1,2026-01-04T05:00:00+00:00,36.10,0.215,48.10,false,
2,2026-01-04T05:00:00+00:00,37.80,0.250,49.60,false,
3,2026-01-04T05:00:00+00:00,54.67,0.708,66.81,true,2026-01-04T16:00:00+00:00
1,2026-01-04T06:00:00+00:00,36.18,0.219,48.22,false,
2,2026-01-04T06:00:00+00:00,37.88,0.254,49.72,false,
3,2026-01-04T06:00:00+00:00,55.91,0.744,68.14,true,2026-01-04T16:00:00+00:00
1,2026-01-04T07:00:00+00:00,36.26,0.223,48.34,false,
2,2026-01-04T07:00:00+00:00,37.96,0.258,49.84,false,
3,2026-01-04T07:00:00+00:00,57.16,0.781,69.47,true,2026-01-04T16:00:00+00:00
1,2026-01-04T08:00:00+00:00,36.34,0.227,48.46,false,
2,2026-01-04T08:00:00+00:00,38.04,0.262,49.96,false,
3,2026-01-04T08:00:00+00:00,58.41,0.817,70.79,true,2026-01-04T16:00:00+00:00
1,2026-01-04T09:00:00+00:00,36.42,0.231,48.58,false,
2,2026-01-04T09:00:00+00:00,38.12,0.266,50.08,false,
3,2026-01-04T09:00:00+00:00,59.65,0.854,72.12,true,2026-01-04T16:00:00+00:00
1,2026-01-04T10:00:00+00:00,36.50,0.235,48.70,false,
2,2026-01-04T10:00:00+00:00,38.20,0.270,50.20,false,
3,2026-01-04T10:00:00+00:00,60.90,0.890,73.45,true,2026-01-04T16:00:00+00:00
1,2026-01-04T11:00:00+00:00,36.58,0.239,48.82,false,
2,2026-01-04T11:00:00+00:00,38.28,0.274,50.32,false,
3,2026-01-04T11:00:00+00:00,62.15,0.926,74.78,true,2026-01-04T16:00:00+00:00
1,2026-01-04T12:00:00+00:00,36.66,0.195,48.94,false,
2,2026-01-04T12:00:00+00:00,38.36,0.230,50.44,false,
3,2026-01-04T12:00:00+00:00,63.39,0.915,76.11,true,2026-01-04T16:00:00+00:00
1,2026-01-04T13:00:00+00:00,36.74,0.199,49.06,false,
2,2026-01-04T13:00:00+00:00,38.44,0.234,50.56,false,
3,2026-01-04T13:00:00+00:00,64.64,0.952,77.44,true,2026-01-04T16:00:00+00:00
1,2026-01-04T14:00:00+00:00,36.82,0.203,49.18,false,
2,2026-01-04T14:00:00+00:00,38.52,0.238,50.68,false,
3,2026-01-04T14:00:00+00:00,65.89,0.988,78.76,true,2026-01-04T16:00:00+00:00
1,2026-01-04T15:00:00+00:00,36.90,0.207,49.30,false,
2,2026-01-04T15:00:00+00:00,38.60,0.242,50.80,false,
3,2026-01-04T15:00:00+00:00,67.13,1.025,80.09,true,2026-01-04T16:00:00+00:00
1,2026-01-04T16:00:00+00:00,36.98,0.211,49.42,false,
2,2026-01-04T16:00:00+00:00,38.68,0.246,50.92,false,
3,2026-01-04T16:00:00+00:00,68.38,1.061,81.42,true,2026-01-04T16:00:00+00:00
1,2026-01-04T17:00:00+00:00,37.06,0.215,49.54,false,
2,2026-01-04T17:00:00+00:00,38.76,0.250,51.04,false,
3,2026-01-04T17:00:00+00:00,40.46,0.285,52.54,false,
1,2026-01-04T18:00:00+00:00,37.14,0.219,47.50,false,
2,2026-01-04T18:00:00+00:00,38.84,0.254,49.00,false,
3,2026-01-04T18:00:00+00:00,40.54,0.289,50.50,false,
1,2026-01-04T19:00:00+00:00,37.22,0.223,47.62,false,
2,2026-01-04T19:00:00+00:00,38.92,0.258,49.12,false,
3,2026-01-04T19:00:00+00:00,40.62,0.293,50.62,false,
1,2026-01-04T20:00:00+00:00,37.30,0.227,47.74,false,
2,2026-01-04T20:00:00+00:00,39.00,0.262,49.24,false,
3,2026-01-04T20:00:00+00:00,40.70,0.297,50.74,false,
1,2026-01-04T21:00:00+00:00,37.38,0.231,47.86,false,
2,2026-01-04T21:00:00+00:00,39.08,0.266,49.36,false,
3,2026-01-04T21:00:00+00:00,40.78,0.301,50.86,false,
1,2026-01-04T22:00:00+00:00,37.46,0.235,47.98,false,
2,2026-01-04T22:00:00+00:00,39.16,0.270,49.48,true,2026-01-05T22:00:00+00:00
3,2026-01-04T22:00:00+00:00,40.86,0.305,50.98,false,
1,2026-01-04T23:00:00+00:00,37.54,0.239,48.10,false,
2,2026-01-04T23:00:00+00:00,40.41,0.306,50.81,true,2026-01-05T22:00:00+00:00
3,2026-01-04T23:00:00+00:00,40.94,0.309,51.10,false,
1,2026-01-05T00:00:00+00:00,35.70,0.195,48.22,false,
2,2026-01-05T00:00:00+00:00,39.73,0.295,52.14,true,2026-01-05T22:00:00+00:00
3,2026-01-05T00:00:00+00:00,39.10,0.265,51.22,false,
1,2026-01-05T01:00:00+00:00,35.78,0.199,48.34,false,
2,2026-01-05T01:00:00+00:00,40.98,0.332,53.47,true,2026-01-05T22:00:00+00:00
3,2026-01-05T01:00:00+00:00,39.18,0.269,51.34,false,
1,2026-01-05T02:00:00+00:00,35.86,0.203,48.46,false,
2,2026-01-05T02:00:00+00:00,42.23,0.368,54.79,true,2026-01-05T22:00:00+00:00
3,2026-01-05T02:00:00+00:00,39.26,0.273,51.46,false,
1,2026-01-05T03:00:00+00:00,35.94,0.207,48.58,false,
2,2026-01-05T03:00:00+00:00,43.47,0.405,56.12,true,2026-01-05T22:00:00+00:00
3,2026-01-05T03:00:00+00:00,39.34,0.277,51.58,false,
1,2026-01-05T04:00:00+00:00,36.02,0.211,48.70,false,
2,2026-01-05T04:00:00+00:00,44.72,0.441,57.45,true,2026-01-05T22:00:00+00:00
3,2026-01-05T04:00:00+00:00,39.42,0.281,51.70,false,
1,2026-01-05T05:00:00+00:00,36.10,0.215,48.82,false,
2,2026-01-05T05:00:00+00:00,45.97,0.478,58.78,true,2026-01-05T22:00:00+00:00
3,2026-01-05T05:00:00+00:00,39.50,0.285,51.82,false,
1,2026-01-05T06:00:00+00:00,36.18,0.219,48.94,false,
2,2026-01-05T06:00:00+00:00,47.21,0.514,60.11,true,2026-01-05T22:00:00+00:00
3,2026-01-05T06:00:00+00:00,39.58,0.289,51.94,false,
1,2026-01-05T07:00:00+00:00,36.26,0.223,49.06,false,
2,2026-01-05T07:00:00+00:00,48.46,0.550,61.44,true,2026-01-05T22:00:00+00:00
3,2026-01-05T07:00:00+00:00,39.66,0.293,52.06,false,
1,2026-01-05T08:00:00+00:00,36.34,0.227,49.18,false,
2,2026-01-05T08:00:00+00:00,49.71,0.587,62.76,true,2026-01-05T22:00:00+00:00
3,2026-01-05T08:00:00+00:00,39.74,0.297,52.18,false,
1,2026-01-05T09:00:00+00:00,36.42,0.231,49.30,false,
2,2026-01-05T09:00:00+00:00,50.95,0.623,64.09,true,2026-01-05T22:00:00+00:00
3,2026-01-05T09:00:00+00:00,39.82,0.301,52.30,false,
1,2026-01-05T10:00:00+00:00,36.50,0.235,49.42,false,
2,2026-01-05T10:00:00+00:00,52.20,0.660,65.42,true,2026-01-05T22:00:00+00:00
3,2026-01-05T10:00:00+00:00,39.90,0.305,52.42,false,
1,2026-01-05T11:00:00+00:00,36.58,0.239,49.54,false,
2,2026-01-05T11:00:00+00:00,53.45,0.697,66.75,true,2026-01-05T22:00:00+00:00
3,2026-01-05T11:00:00+00:00,39.98,0.309,52.54,false,
1,2026-01-05T12:00:00+00:00,36.66,0.195,47.50,false,
2,2026-01-05T12:00:00+00:00,54.69,0.685,65.92,true,2026-01-05T22:00:00+00:00
3,2026-01-05T12:00:00+00:00,40.06,0.265,50.50,false,
1,2026-01-05T13:00:00+00:00,36.74,0.199,47.62,false,
2,2026-01-05T13:00:00+00:00,55.94,0.722,67.25,true,2026-01-05T22:00:00+00:00
3,2026-01-05T13:00:00+00:00,40.14,0.269,50.62,false,
1,2026-01-05T14:00:00+00:00,36.82,0.203,47.74,false,
2,2026-01-05T14:00:00+00:00,57.19,0.758,68.57,true,2026-01-05T22:00:00+00:00
3,2026-01-05T14:00:00+00:00,40.22,0.273,50.74,false,
1,2026-01-05T15:00:00+00:00,36.90,0.207,47.86,false,
2,2026-01-05T15:00:00+00:00,58.43,0.795,69.90,true,2026-01-05T22:00:00+00:00
3,2026-01-05T15:00:00+00:00,40.30,0.277,50.86,false,
1,2026-01-05T16:00:00+00:00,36.98,0.211,47.98,false,
2,2026-01-05T16:00:00+00:00,59.68,0.831,71.23,true,2026-01-05T22:00:00+00:00
3,2026-01-05T16:00:00+00:00,40.38,0.281,50.98,false,
1,2026-01-05T17:00:00+00:00,37.06,0.215,48.10,false,
2,2026-01-05T17:00:00+00:00,60.93,0.867,72.56,true,2026-01-05T22:00:00+00:00
3,2026-01-05T17:00:00+00:00,40.46,0.285,51.10,false,
1,2026-01-05T18:00:00+00:00,37.14,0.219,48.22,false,
2,2026-01-05T18:00:00+00:00,62.17,0.904,73.89,true,2026-01-05T22:00:00+00:00
3,2026-01-05T18:00:00+00:00,40.54,0.289,51.22,false,
1,2026-01-05T19:00:00+00:00,37.22,0.223,48.34,false,
2,2026-01-05T19:00:00+00:00,63.42,0.941,75.22,true,2026-01-05T22:00:00+00:00
3,2026-01-05T19:00:00+00:00,40.62,0.293,51.34,false,
1,2026-01-05T20:00:00+00:00,37.30,0.227,48.46,false,
2,2026-01-05T20:00:00+00:00,64.67,0.977,76.54,true,2026-01-05T22:00:00+00:00
3,2026-01-05T20:00:00+00:00,40.70,0.297,51.46,false,
1,2026-01-05T21:00:00+00:00,37.38,0.231,48.58,false,
2,2026-01-05T21:00:00+00:00,65.91,1.014,77.87,true,2026-01-05T22:00:00+00:00
3,2026-01-05T21:00:00+00:00,40.78,0.301,51.58,false,
1,2026-01-05T22:00:00+00:00,37.46,0.235,48.70,false,
2,2026-01-05T22:00:00+00:00,67.16,1.050,79.20,true,2026-01-05T22:00:00+00:00
3,2026-01-05T22:00:00+00:00,40.86,0.305,51.70,false,
1,2026-01-05T23:00:00+00:00,37.54,0.239,48.82,false,
2,2026-01-05T23:00:00+00:00,39.24,0.274,50.32,false,
3,2026-01-05T23:00:00+00:00,40.94,0.309,51.82,false,
1,2026-01-06T00:00:00+00:00,35.70,0.195,48.94,false,
2,2026-01-06T00:00:00+00:00,37.40,0.230,50.44,false,
3,2026-01-06T00:00:00+00:00,39.10,0.265,51.94,false,
1,2026-01-06T01:00:00+00:00,35.78,0.199,49.06,false,
2,2026-01-06T01:00:00+00:00,37.48,0.234,50.56,false,
3,2026-01-06T01:00:00+00:00,39.18,0.269,52.06,false,
1,2026-01-06T02:00:00+00:00,35.86,0.203,49.18,false,
2,2026-01-06T02:00:00+00:00,37.56,0.238,50.68,false,
3,2026-01-06T02:00:00+00:00,39.26,0.273,52.18,false,
1,2026-01-06T03:00:00+00:00,35.94,0.207,49.30,false,
2,2026-01-06T03:00:00+00:00,37.64,0.242,50.80,false,
3,2026-01-06T03:00:00+00:00,39.34,0.277,52.30,false,
1,2026-01-06T04:00:00+00:00,36.02,0.211,49.42,false,
2,2026-01-06T04:00:00+00:00,37.72,0.246,50.92,false,
